Rank,Name, Price , Market Cap , Volume(24h) 
1,," $35,678.42 "," $677,856,342,416.00 "," $40,964,636,287.00 "
,Bitcoin,,," 1,146,237 BTC "
,BTC,,,
,,,,
2,," $2,446.41 "," $292,833,442,758.00 "," $24,419,180,925.00 "
,Ethereum,,," 9,982,801 ETH "
,ETH,,,
,,,,
3,, $1.00 ," $79,542,434,953.00 "," $95,053,917,880.00 "
,Tether,,," 94,972,862,715 USDT "
,USDT,,,
4,, $342.04 ," $56,580,121,947.00 "," $2,611,265,562.00 "
,BNB,,," 7,620,410 BNB "
,BNB,,,
,,,,
5,, $1.00 ," $53,052,325,930.00 "," $7,404,386,033.00 "
,USD Coin,,," 7,403,573,358 USDC "
,USDC,,,
6,, $0.65 ," $31,086,290,476.00 "," $4,300,113,951.00 "
,XRP,,," 6,632,742,909 XRP "
,XRP,,,
7,, $84.25 ," $27,069,601,948.00 "," $4,305,710,775.00 "
,Solana,,," 50,888,316 SOL "
,SOL,,,
,,,,
8,, $0.80 ," $26,905,672,967.00 "," $3,179,807,660.00 "
,Cardano,,," 3,974,094,396 ADA "
,ADA,,,
9,, $56.69 ," $21,743,295,044.00 "," $5,169,176,737.00 "
,Terra,,," 91,140,266 LUNA "
,LUNA,,,
,,,,
10,, $1.00 ," $18,324,830,862.00 "," $7,576,501,858.00 "
,Binance USD,,," 7,571,210,770 BUSD "
,BUSD,,,
11,, $70.33 ," $17,282,985,804.00 "," $2,558,888,071.00 "
,Avalanche,,," 36,371,552 AVAX "
,AVAX,,,
,,,,
12,, $0.12 ," $15,469,964,161.00 "," $1,655,990,358.00 "
,Dogecoin,,," 14,201,810,955 DOGE "
,DOGE,,,
13,, $15.34 ," $15,157,541,673.00 "," $2,076,032,710.00 "
,Polkadot,,," 135,262,499 DOT "
,DOT,,,
14,, $1.01 ," $12,505,669,664.00 "," $719,961,178.00 "
,TerraUSD,,," 714,448,276 UST "
,UST,,,
15,, $0.00 ," $12,351,147,692.00 "," $2,652,337,318.00 "
,Shiba Inu,,," 117,908,154,005,945 SHIB "
,SHIB,,,
,,,,
16,, $1.34 ," $10,090,258,780.00 "," $2,329,266,200.00 "
,Polygon,,," 1,738,773,253 MATIC "
,MATIC,,,
,,,,
17,, $1.00 ," $10,049,346,534.00 "," $561,564,159.00 "
,Dai,,," 561,368,167 DAI "
,DAI,,,
18,," $35,779.62 "," $9,418,349,449.00 "," $322,584,018.00 "
,Wrapped Bitcoin,,," 9,013 WBTC "
,WBTC,,,
19,, $0.37 ," $9,319,367,381.00 "," $191,113,066.00 "
,Cronos,,," 518,070,788 CRO "
,CRO,,,
20,, $97.29 ," $6,781,950,525.00 "," $1,378,346,906.00 "
