,name,price,market_cap,daily_trading_volume
0,BTC,35678.42,677856342416.0,40964636287
1,ETH,2446.41,292833442758.0,24419180925
2,USDT,1.0,79542434953.0,95053917880
3,BNB,342.04,56580121947.0,2611265562
4,USDC,1.0,53052325930.0,7404386033
5,XRP,0.647,31086290476.0,4300113951
6,SOL,84.25,27069601948.0,4305710775
7,ADA,0.7971,26905672967.0,3179807660
8,LUNA,56.69,21743295044.0,5169176737
9,BUSD,1.0,18324830862.0,7576501858
10,AVAX,70.33,17282985804.0,2558888071
11,DOGE,0.1166,15469964161.0,1655990358
12,DOT,15.34,15157541673.0,2076032710
13,UST,1.01,12505669664.0,719961178
14,SHIB,2.248e-05,12351147692.0,2652337318
15,MATIC,1.34,10090258780.0,2329266200
16,DAI,1.0,10049346534.0,561564159
17,WBTC,35779.62,9418349449.0,322584018
18,LTC,97.29,6781950525.0,1378346906
19,ATOM,23.03,6599627204.0,1247750159
20,TRX,0.05879,5984051198.0,1213510734
21,LINK,12.19,5690835665.0,1324400604
22,UNI,8.22,5200880631.0,368074117
23,BCH,271.98,5165377515.0,4354412754
24,NEAR,7.96,5093900553.0,653075020
25,ALGO,0.7422,4912366745.0,383015464
26,MANA,2.39,4373572839.0,1439257625
27,XLM,0.1717,4280056736.0,501981989
28,FTM,1.39,3544978279.0,1460379585
29,ETC,24.54,3268072838.0,653424108
30,ICP,15.74,3264200715.0,431704336
31,SAND,2.8,3045106877.0,1458120345
32,FIL,17.52,2941638379.0,555920636
33,EGLD,128.3,2765448711.0,374453166
34,AXS,44.35,2701028908.0,520123164
35,VET,0.0416,2675791701.0,488079031
36,THETA,2.43,2430891962.0,401873854
37,EOS,1.95,1913892503.0,598498073
38,AAVE,119.7,1630538224.0,257544076
39,GALA,0.2078,1449752966.0,1731294464
40,NEO,18.32,1292291457.0,277661226
41,ZEC,92.63,1279716708.0,267709007
42,ENJ,1.24,1071139132.0,357967442
43,OKB,16.26,975456995.0,349452008
44,WAVES,8.67,932859496.0,332251985
45,CRV,2.04,918839213.0,449883065
46,LRC,0.6792,903024220.0,313187835
47,ROSE,0.1935,675862367.0,260132656
48,API3,6.27,231490115.0,309708981
49,ALICE,6.36,194487496.0,548664193
